Week,Neftegna,ነፍጠኛ
2020-02-16,0,0
2020-02-23,0,0
2020-03-01,0,0
2020-03-08,0,0
2020-03-15,0,0
2020-03-22,0,30
2020-03-29,0,0
2020-04-05,0,0
2020-04-12,0,0
2020-04-19,0,0
2020-04-26,0,0
2020-05-03,0,0
2020-05-10,0,0
2020-05-17,0,0
2020-05-24,0,0
2020-05-31,0,0
2020-06-07,0,0
2020-06-14,0,0
2020-06-21,0,0
2020-06-28,32,0
2020-07-05,32,0
2020-07-12,0,0
2020-07-19,100,0
2020-07-26,0,0
2020-08-02,66,33
2020-08-09,32,32
2020-08-16,0,0
2020-08-23,32,32
2020-08-30,32,0
2020-09-06,0,0
2020-09-13,0,0
2020-09-20,0,0
2020-09-27,0,0
2020-10-04,0,0
2020-10-11,34,0
2020-10-18,0,0
2020-10-25,34,0
2020-11-01,0,0
2020-11-08,0,0
2020-11-15,0,0
2020-11-22,0,0
2020-11-29,0,0
2020-12-06,0,0
2020-12-13,0,34
2020-12-20,0,0
2020-12-27,0,0
2021-01-03,0,0
2021-01-10,0,0
2021-01-17,0,0
2021-01-24,0,0
2021-01-31,0,0
2021-02-07,0,0
